id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,iata_code
27442,YCBR,small_airport,Collarenebri Airport,-29.523239,148.578243,152.0,OC,AU,AU-NSW,Unknown,no,CRB
26947,YCCA,medium_airport,Chinchilla Airport,-26.771947,150.617571,1028.0,OC,AU,AU-QLD,Chinchilla,no,CCL
27444,YCCT,small_airport,Coconut Island Airport,-10.050139,143.070007,3.0,OC,AU,AU-QLD,Unknown,yes,CNC
26948,YCCY,medium_airport,Cloncurry Airport,-20.6686000824,140.503997803,616.0,OC,AU,AU-QLD,Cloncurry,yes,CNJ
26949,YCDO,small_airport,Condobolin Airport,-33.06565,147.21316,650.0,OC,AU,AU-NSW,Unknown,no,CBX
27448,YCDR,small_airport,Caloundra Airport,-26.80336,153.104975,12.0,OC,AU,AU-QLD,Caloundra,no,CUD
26950,YCDU,medium_airport,Ceduna Airport,-32.13059997558594,133.7100067138672,77.0,OC,AU,AU-SA,Unknown,yes,CED
26951,YCEE,medium_airport,Cleve Airport,-33.709702,136.505005,589.0,OC,AU,AU-SA,Unknown,no,CVC
38281,YCES,small_airport,Ceres Airport,-38.14830017089844,144.25799560546875,876.3950140449438,OC,AU,AU-VIC,Unknown,no,CRR
315831,YCF,seaplane_base,Cortes Bay Water Aerodrome,50.063,-124.930002,1351.7610296137575,NA,CA,CA-BC,Cortes Bay,no,YCF
27452,YCFD,small_airport,Camfield Airport,-17.021699905395508,131.32699584960938,876.3950140449438,OC,AU,AU-NT,Unknown,no,CFI
38282,YCFH,small_airport,Clifton Hills Airport,-27.018299,138.891998,105.0,OC,AU,AU-SA,Clifton Hills,no,CFH
27454,YCFL,small_airport,Cape Flattery Airport,-14.970832,145.311667,43.0,OC,AU,AU-QLD,Unknown,no,CQP
27132,YCFS,medium_airport,Coffs Harbour Airport,-30.320601,153.115997,18.0,OC,AU,AU-NSW,Coffs Harbour,yes,CFS
26952,YCGO,small_airport,Chillagoe Airport,-17.138386,144.528494,1110.0,OC,AU,AU-QLD,Chillagoe,no,LLG
38284,YCHB,small_airport,Cherrabah Airport,-28.4301,152.08895,2228.0,OC,AU,AU-QLD,Cherrabah Homestead Resort,no,CRH
315620,YCHK,small_airport,Christmas Creek Airport,-22.354302,119.642603,1462.0,OC,AU,AU-WA,Christmas Creek Mine,yes,CKW
26953,YCHT,small_airport,Charters Towers Airport,-20.0431,146.272995,955.0,OC,AU,AU-QLD,Unknown,no,CXT
26954,YCIN,medium_airport,RAAF Base Curtin,-17.581389,123.828333,300.0,OC,AU,AU-WA,Derby,no,DCN
27461,YCKI,small_airport,Croker Island Airport,-11.165,132.483002,16.0,OC,AU,AU-NT,Unknown,no,CKI
26955,YCKN,medium_airport,Cooktown Airport,-15.443649,145.183221,26.0,OC,AU,AU-QLD,Unknown,yes,CTN
26956,YCMT,medium_airport,Clermont Airport,-22.7731,147.621002,908.0,OC,AU,AU-QLD,Unknown,no,CMQ
26957,YCMU,medium_airport,Cunnamulla Airport,-28.030000686645508,145.6219940185547,630.0,OC,AU,AU-QLD,Unknown,yes,CMA
27468,YCMW,small_airport,Camooweal Airport,-19.911699,138.125,241.0,OC,AU,AU-QLD,Unknown,no,CML
27469,YCNF,small_airport,Camp Nifty Airport,-21.6717,121.586998,295.0,OC,AU,AU-WA,Unknown,no,NIF
26958,YCNK,small_airport,Cessnock Airport,-32.787498,151.341995,210.0,OC,AU,AU-NSW,Unknown,no,CES
26959,YCNM,medium_airport,Coonamble Airport,-30.980946,148.377833,604.0,OC,AU,AU-NSW,Unknown,yes,CNB
32085,YCOD,small_airport,Cordillo Downs Airport,-26.74530029296875,140.63800048828125,125.0,OC,AU,AU-SA,Cordillo Downs,no,ODL
26961,YCOE,medium_airport,Coen Airport,-13.761133,143.113311,532.0,OC,AU,AU-QLD,Coen,yes,CUQ
27478,YCOI,small_airport,Collie Airport,-33.3666992188,116.217002869,818.0,OC,AU,AU-WA,Collie,no,CIE
26962,YCOM,medium_airport,Cooma Snowy Mountains Airport,-36.300445,148.972408,3088.0,OC,AU,AU-NSW,Cooma,yes,OOM
27480,YCOO,small_airport,Cooinda Airport,-12.903300285339355,132.53199768066406,13.0,OC,AU,AU-NT,Unknown,no,CDA
26963,YCOR,medium_airport,Corowa Airport,-35.994701,146.356995,469.0,OC,AU,AU-NSW,Unknown,no,CWW
27482,YCPN,small_airport,Carpentaria Downs Airport,-18.718481,144.313028,1585.0,OC,AU,AU-QLD,Carpentaria Downs,no,CFP
26964,YCRG,medium_airport,Corryong Airport,-36.18280029296875,147.88800048828125,963.0,OC,AU,AU-VIC,Unknown,no,CYG
38301,YCRK,small_airport,Christmas Creek Station Airport,-18.8728,125.934,540.0,OC,AU,AU-WA,Wangkat Jungka,no,CXQ
27486,YCRY,small_airport,Croydon Airport,-18.225000381469727,142.25799560546875,107.0,OC,AU,AU-QLD,Unknown,no,CDQ
27487,YCSV,small_airport,Collinsville Airport,-20.59670066833496,147.86000061035156,180.0,OC,AU,AU-QLD,Unknown,no,KCE
26965,YCTM,medium_airport,Cootamundra Airport,-34.624283,148.036641,1110.0,OC,AU,AU-NSW,Unknown,no,CMD
27491,YCUA,small_airport,Cudal Airport,-33.278026,148.768708,491.0,OC,AU,AU-NSW,Unknown,no,CUG
27492,YCUE,small_airport,Cue Airport,-27.450663,117.917703,442.0,OC,AU,AU-WA,Unknown,no,CUY
29801,YCWA,small_airport,Coondewanna Airport,-22.966667,118.813333,2300.0,OC,AU,AU-WA,Coondewanna,no,CJF
29808,YCWI,small_airport,Cowarie Airport,-27.711700439453125,138.3280029296875,52.0,OC,AU,AU-SA,Unknown,no,CWR
27497,YCWL,small_airport,Cowell Airport,-33.666698,136.891998,39.0,OC,AU,AU-SA,Unknown,no,CCW
26968,YCWR,medium_airport,Cowra Airport,-33.846894,148.648007,966.0,OC,AU,AU-NSW,Unknown,no,CWT
27499,YCWY,small_airport,Coolawanyah Airport,-21.7946,117.755,1195.0,OC,AU,AU-WA,Coolawanyah Station,no,COY
27502,YDAJ,small_airport,Dajarra Airport,-21.70829963684082,139.5330047607422,335.0,OC,AU,AU-QLD,Unknown,no,DJR
26969,YDAY,small_airport,Dalby Airport,-27.158476,151.263428,1137.0,OC,AU,AU-QLD,Unknown,no,DBY
26970,YDBI,medium_airport,Dirranbandi Airport,-28.587912,148.217161,567.0,OC,AU,AU-QLD,Unknown,no,DRN
27504,YDBR,small_airport,Dunbar Airport,-16.047394,142.394415,15.0,OC,AU,AU-QLD,Maramie,no,DNB
26971,YDBY,medium_airport,Derby Airport,-17.37193,123.66221,24.0,OC,AU,AU-WA,Derby,no,DRB
30909,YDDF,small_airport,Drumduff Airport,-16.052124,143.013339,876.3950140449438,OC,AU,AU-QLD,Palmer,no,DFP
314876,YDDI,heliport,Daydream Island Helipad,-20.2603,148.8136,8.0,OC,AU,AU-QLD,Whitsundays,no,DDI
302108,YDGA,small_airport,Dalgaranga Gold Mine Airport,-27.829722,117.316389,1459.0,OC,AU,AU-WA,Unknown,no,DGD
38318,YDGN,small_airport,Doongan Airport,-15.386429,126.302235,876.3950140449438,OC,AU,AU-WA,Drysdale River,no,DNG
27509,YDIX,small_airport,Dixie Airport,-15.1174944348,143.316049576,580.0,OC,AU,AU-QLD,New Dixie,no,DXD
27510,YDKI,small_airport,Dunk Island Airport,-17.93913,146.141447,6.0,OC,AU,AU-QLD,Dunk Island,no,DKI
30924,YDLK,small_airport,Dulkaninna Airport,-29.0132999420166,138.4810028076172,876.3950140449438,OC,AU,AU-SA,Dulkaninna,no,DLK
26972,YDLQ,medium_airport,Deniliquin Airport,-35.5593986511,144.945999146,316.0,OC,AU,AU-NSW,Deniliquin,no,DNQ
27514,YDLT,small_airport,Delta Downs Airport,-16.99169921875,141.31700134277344,15.0,OC,AU,AU-QLD,Unknown,no,DDN
27515,YDLV,small_airport,Delissaville Airport,-12.550000190734863,130.68499755859375,34.0,OC,AU,AU-NT,Unknown,no,DLV
27516,YDLW,small_airport,Daly Waters Airport,-16.264695066399998,133.383378983,700.0,OC,AU,AU-NT,Daly Waters,no,DYW
26973,YDMG,small_airport,Doomadgee Airport,-17.9403,138.822006,153.0,OC,AU,AU-QLD,Unknown,yes,DMD
27517,YDMN,small_airport,Daly River Airport,-13.749806,130.693878,876.3950140449438,OC,AU,AU-NT,Nauiyu,no,DVR
32037,YDNI,small_airport,Darnley Island Airport,-9.579176,143.780276,876.3950140449438,OC,AU,AU-QLD,Darnley Island,yes,NLF
27525,YDOR,small_airport,Dorunda Airport,-16.5537,141.8238,58.0,OC,AU,AU-QLD,Dorunda Outstation,no,DRD
